,RGB1,RGB2,RGB3,RGB4
Prickly Leaves,"rgb(46, 64, 7)","rgb(43, 84, 52)","rgb(227, 204, 222)","rgb(176, 203, 176)"
Cotton Knits,"rgb(255, 203, 164)","rgb(148, 85, 61)","rgb(196, 172, 149)","rgb(243, 236, 218)"
Deeper Waves,"rgb(0, 181, 162)","rgb(139, 209, 228)","rgb(202, 223, 217)","rgb(0, 191, 214)"
Swiftness of Water,"rgb(204, 224, 210)","rgb(97, 194, 162)","rgb(44, 131, 149)","rgb(29, 97, 122)"
Waiting on Wind,"rgb(149, 186, 97)","rgb(188, 150, 202)","rgb(211, 187, 221)","rgb(240, 247, 224)"
Ripples and Waves,"rgb(203, 205, 203)","rgb(118, 150, 173)","rgb(13, 135, 122)","rgb(107, 114, 103)"
Morning Espresso,"rgb(0, 0, 0)","rgb(209, 208, 208)","rgb(152, 134, 134)","rgb(92, 78, 78)"
Follow the Flow,"rgb(13, 53, 48)","rgb(33, 98, 96)","rgb(158, 191, 192)","rgb(220, 223, 224)"
Nightfall Ambiance,"rgb(0, 61, 122)","rgb(5, 21, 55)","rgb(4, 36, 124)","rgb(4, 88, 171)"
Stretch of Sand,"rgb(144, 137, 132)","rgb(28, 121, 158)","rgb(246, 240, 231)","rgb(92, 204, 203)"
Unicorn Trail,"rgb(104, 231, 224)","rgb(249, 200, 176)","rgb(255, 141, 128)","rgb(230, 105, 76)"
Floaty Pool Fun,"rgb(37, 56, 142)","rgb(87, 219, 216)","rgb(248, 71, 145)","rgb(249, 184, 177)"
Cool Funky Flavor,"rgb(40, 118, 134)","rgb(223, 209, 169)","rgb(199, 159, 167)","rgb(105, 94, 147)"
College Daze,"rgb(255, 191, 144)","rgb(243, 104, 112)","rgb(206, 214, 202)","rgb(255, 245, 215)"
Peacock Wings,"rgb(80, 101, 91)","rgb(83, 223, 209)","rgb(15, 30, 100)","rgb(28, 155, 142)"
Light Me Up,"rgb(0, 134, 170)","rgb(202, 198, 198)","rgb(0, 69, 109)","rgb(103, 215, 237)"
Ramp It Up,"rgb(149, 86, 112)","rgb(39, 80, 112)","rgb(235, 170, 176)","rgb(243, 225, 192)"
Crack of Dawn,"rgb(232, 122, 0)","rgb(216, 156, 96)","rgb(4, 81, 116)","rgb(0, 31, 61)"
Ocean Depth,"rgb(0, 31, 61)","rgb(9, 169, 200)","rgb(5, 87, 114)","rgb(6, 117, 147)"
Sugar Rush,"rgb(255, 176, 103)","rgb(255, 237, 134)","rgb(162, 220, 231)","rgb(248, 204, 220)"
Unpeeled Beans,"rgb(146, 207, 147)","rgb(11, 28, 72)","rgb(226, 237, 221)","rgb(222, 202, 186)"
Ocean Ripples,"rgb(174, 184, 196)","rgb(5, 38, 59)","rgb(22, 59, 80)","rgb(156, 166, 184)"
Drops of Jupiter,"rgb(24, 72, 160)","rgb(71, 216, 224)","rgb(161, 216, 224)","rgb(38, 146, 208)"
Cool Funky Flavor,"rgb(40, 118, 134)","rgb(223, 209, 169)","rgb(199, 159, 167)","rgb(105, 94, 147)"
Light Me Up,"rgb(0, 134, 170)","rgb(202, 198, 198)","rgb(0, 69, 109)","rgb(103, 215, 237)"
Ramp It Up,"rgb(149, 86, 112)","rgb(39, 80, 112)","rgb(235, 170, 176)","rgb(243, 225, 192)"
Fluorescent Fruit,"rgb(0, 146, 146)","rgb(246, 81, 86)","rgb(136, 7, 11)","rgb(255, 206, 19)"
Ocean Depth,"rgb(0, 31, 61)","rgb(9, 169, 200)","rgb(5, 87, 114)","rgb(6, 117, 147)"
Ocean Ripples,"rgb(174, 184, 196)","rgb(5, 38, 59)","rgb(22, 59, 80)","rgb(156, 166, 184)"
Drops of Jupiter,"rgb(24, 72, 160)","rgb(71, 216, 224)","rgb(161, 216, 224)","rgb(38, 146, 208)"
Spiraling Autumn Leaves,"rgb(36, 45, 24)","rgb(11, 22, 38)","rgb(250, 208, 44)","rgb(133, 46, 27)"
Dark Metal,"rgb(214, 214, 214)","rgb(140, 140, 140)","rgb(68, 68, 76)","rgb(11, 9, 9)"
Cheery Cake Pops,"rgb(253, 166, 73)","rgb(244, 230, 131)","rgb(184, 60, 112)","rgb(77, 179, 228)"
Basic Graham,"rgb(38, 41, 32)","rgb(68, 75, 80)","rgb(182, 175, 144)","rgb(91, 95, 80)"
Against Autumn Fields,"rgb(171, 32, 42)","rgb(51, 81, 85)","rgb(21, 20, 26)","rgb(248, 207, 44)"
Ivy Swipe,"rgb(116, 112, 128)","rgb(243, 234, 192)","rgb(189, 151, 203)","rgb(94, 55, 109)"
Flash and Rave,"rgb(105, 18, 74)","rgb(8, 11, 57)","rgb(20, 82, 124)","rgb(242, 72, 182)"
Plum and Gold,"rgb(174, 135, 129)","rgb(142, 138, 146)","rgb(214, 206, 192)","rgb(214, 192, 153)"
Bird of Prey,"rgb(243, 245, 249)","rgb(181, 161, 151)","rgb(2, 3, 1)","rgb(255, 219, 21)"
Fly Away Bell,"rgb(105, 94, 147)","rgb(96, 47, 247)","rgb(39, 83, 22)","rgb(64, 41, 120)"
Ice Cold Rosé,"rgb(205, 96, 144)","rgb(158, 143, 144)","rgb(233, 143, 192)","rgb(239, 234, 224)"
Cheerful Sands,"rgb(255, 215, 116)","rgb(251, 192, 14)","rgb(129, 234, 255)","rgb(41, 179, 255)"
Fresh Succulent,"rgb(181, 223, 214)","rgb(73, 159, 164)","rgb(145, 202, 190)","rgb(19, 41, 42)"
Metal and Glass,"rgb(235, 232, 224)","rgb(168, 187, 176)","rgb(10, 10, 0)","rgb(208, 17, 16)"
Robin Egg Frosting,"rgb(156, 168, 158)","rgb(202, 222, 223)","rgb(124, 183, 175)","rgb(22, 121, 111)"
Party Time Sprinkles,"rgb(169, 74, 95)","rgb(246, 129, 129)","rgb(87, 165, 184)","rgb(100, 213, 221)"
Ice Cream Colors,"rgb(229, 201, 81)","rgb(208, 121, 135)","rgb(160, 106, 180)","rgb(21, 129, 154)"
A Royal Bouquet,"rgb(137, 111, 188)","rgb(27, 23, 52)","rgb(92, 3, 140)","rgb(66, 2, 100)"
Pastel Meltaways,"rgb(255, 216, 152)","rgb(249, 234, 194)","rgb(236, 253, 241)","rgb(254, 231, 230)"
Dew on Petals,"rgb(75, 0, 0)","rgb(31, 108, 102)","rgb(231, 230, 227)","rgb(0, 0, 0)"
Seastorm Gloom,"rgb(131, 139, 194)","rgb(215, 212, 221)","rgb(113, 92, 140)","rgb(51, 63, 99)"
Vandal Pigment,"rgb(37, 108, 112)","rgb(191, 13, 112)","rgb(240, 84, 176)","rgb(224, 233, 208)"
Lemon Water,"rgb(247, 211, 48)","rgb(58, 163, 160)","rgb(246, 195, 36)","rgb(138, 226, 224)"
Cup of Macarons,"rgb(255, 215, 0)","rgb(244, 236, 240)","rgb(215, 223, 184)","rgb(235, 179, 184)"
Kayaks and Clouds,"rgb(35, 103, 177)","rgb(248, 207, 44)","rgb(228, 230, 237)","rgb(211, 168, 119)"
Hot Air Weekend,"rgb(43, 24, 163)","rgb(243, 83, 213)","rgb(233, 216, 225)","rgb(136, 201, 250)"
Worth the Wait,"rgb(145, 83, 48)","rgb(42, 27, 16)","rgb(188, 134, 96)","rgb(247, 202, 201)"
Macaron de Paris,"rgb(237, 193, 187)","rgb(239, 213, 147)","rgb(193, 194, 173)","rgb(183, 161, 166)"
Plum Tulips,"rgb(123, 22, 62)","rgb(255, 11, 172)","rgb(247, 187, 219)","rgb(63, 109, 60)"
Perfect Contrasts,"rgb(223, 38, 94)","rgb(127, 62, 113)","rgb(0, 65, 151)","rgb(0, 0, 163)"
Wall Greens,"rgb(49, 53, 46)","rgb(235, 235, 232)","rgb(209, 226, 196)","rgb(119, 138, 53)"
Sliced Citrus,"rgb(31, 38, 46)","rgb(46, 71, 105)","rgb(76, 124, 113)","rgb(227, 90, 1)"
Warm Embrace,"rgb(72, 113, 232)","rgb(177, 117, 255)","rgb(171, 114, 159)","rgb(45, 22, 116)"
Worth the Wait,"rgb(145, 83, 48)","rgb(42, 27, 16)","rgb(188, 134, 96)","rgb(247, 202, 201)"
Bubblegum Popstar,"rgb(254, 204, 200)","rgb(4, 211, 188)","rgb(254, 233, 0)","rgb(253, 242, 231)"
Sun-dappled Sea,"rgb(218, 164, 134)","rgb(250, 252, 240)","rgb(19, 251, 226)","rgb(0, 130, 145)"
Perfect Contrasts,"rgb(223, 38, 94)","rgb(127, 62, 113)","rgb(0, 65, 151)","rgb(0, 0, 163)"
Wall Greens,"rgb(49, 53, 46)","rgb(235, 235, 232)","rgb(209, 226, 196)","rgb(119, 138, 53)"
Sliced Citrus,"rgb(31, 38, 46)","rgb(46, 71, 105)","rgb(76, 124, 113)","rgb(227, 90, 1)"
Along the Shore,"rgb(142, 178, 192)","rgb(243, 246, 240)","rgb(53, 83, 96)","rgb(138, 100, 96)"
Hello There Neighbor,"rgb(241, 236, 228)","rgb(213, 168, 78)","rgb(30, 87, 134)","rgb(248, 238, 166)"
Strawberry Almond Bar,"rgb(224, 227, 227)","rgb(209, 48, 85)","rgb(212, 204, 166)","rgb(252, 192, 197)"
Lift Me Up,"rgb(225, 81, 175)","rgb(178, 215, 218)","rgb(242, 227, 76)","rgb(171, 234, 124)"
Candy Skyline,"rgb(102, 184, 201)","rgb(250, 215, 243)","rgb(255, 230, 91)","rgb(220, 242, 240)"
Green Blaze,"rgb(148, 201, 115)","rgb(47, 82, 51)","rgb(177, 216, 183)","rgb(118, 185, 71)"
Heart of Coral,"rgb(245, 77, 61)","rgb(240, 161, 96)","rgb(185, 125, 96)","rgb(240, 204, 176)"
Yarn Fuzz,"rgb(40, 78, 96)","rgb(249, 155, 69)","rgb(99, 170, 192)","rgb(217, 89, 128)"
Ice Infinity,"rgb(56, 94, 114)","rgb(106, 171, 210)","rgb(183, 207, 220)","rgb(217, 228, 236)"
Basking the Ambience,"rgb(0, 0, 102)","rgb(0, 0, 255)","rgb(0, 160, 243)","rgb(250, 251, 244)"
Classic Travel,"rgb(189, 142, 131)","rgb(116, 158, 178)","rgb(233, 218, 196)","rgb(172, 142, 96)"
Meeting the Sand,"rgb(131, 101, 89)","rgb(244, 248, 243)","rgb(205, 172, 121)","rgb(98, 132, 116)"
Midnight Moon,"rgb(11, 19, 32)","rgb(28, 63, 96)","rgb(175, 193, 208)","rgb(177, 212, 224)"
Path at Dusk,"rgb(19, 144, 224)","rgb(13, 101, 157)","rgb(247, 203, 45)","rgb(162, 196, 224)"
Calm Waters,"rgb(25, 46, 65)","rgb(5, 38, 59)","rgb(13, 101, 157)","rgb(187, 200, 222)"
Rabbit in Grass,"rgb(101, 70, 62)","rgb(170, 214, 160)","rgb(220, 186, 169)","rgb(210, 229, 208)"
Bolted Business,"rgb(113, 114, 107)","rgb(32, 38, 32)","rgb(101, 88, 64)","rgb(208, 230, 234)"
Garden Blur,"rgb(76, 61, 64)","rgb(189, 181, 192)","rgb(200, 180, 208)","rgb(246, 238, 240)"
Cuddle Weather,"rgb(56, 57, 64)","rgb(169, 138, 176)","rgb(241, 241, 240)","rgb(173, 169, 173)"
Meadow Bounty,"rgb(208, 227, 255)","rgb(214, 43, 131)","rgb(251, 192, 14)","rgb(115, 141, 55)"
In a Trance,"rgb(196, 95, 144)","rgb(214, 145, 160)","rgb(77, 76, 96)","rgb(250, 220, 220)"
Out the Backdoor,"rgb(184, 85, 66)","rgb(230, 231, 224)","rgb(115, 153, 176)","rgb(133, 155, 128)"
Strong and Curved,"rgb(151, 188, 199)","rgb(242, 241, 239)","rgb(5, 61, 87)","rgb(0, 104, 132)"
Warm Sunset,"rgb(1, 1, 0)","rgb(253, 183, 80)","rgb(252, 46, 32)","rgb(253, 127, 32)"
Clusters of Beauty,"rgb(233, 137, 128)","rgb(235, 187, 176)","rgb(244, 185, 184)","rgb(212, 140, 112)"
Hawaiian Blossom,"rgb(248, 248, 248)","rgb(126, 157, 194)","rgb(254, 218, 21)","rgb(255, 15, 57)"
Cinematic Glow,"rgb(246, 212, 210)","rgb(177, 159, 249)","rgb(65, 32, 169)","rgb(161, 169, 254)"
Feeling Blue,"rgb(50, 52, 50)","rgb(120, 112, 105)","rgb(152, 164, 176)","rgb(171, 166, 170)"
Gingerbread Ice Cream,"rgb(23, 21, 21)","rgb(196, 174, 120)","rgb(249, 246, 240)","rgb(111, 91, 62)"
Cherry Blossom Swirl,"rgb(57, 19, 6)","rgb(241, 206, 212)","rgb(113, 0, 25)","rgb(249, 204, 211)"
Dreams of Leaflings,"rgb(53, 74, 24)","rgb(249, 235, 243)","rgb(78, 195, 61)","rgb(44, 119, 33)"
Nutty Batter,"rgb(253, 239, 231)","rgb(109, 73, 64)","rgb(196, 90, 118)","rgb(241, 185, 137)"
Valiant Bloom,"rgb(67, 108, 182)","rgb(255, 216, 241)","rgb(99, 49, 255)","rgb(251, 202, 167)"
Cabin Fabric,"rgb(200, 160, 80)","rgb(32, 43, 32)","rgb(198, 204, 208)","rgb(228, 225, 208)"
Out the Backdoor,"rgb(184, 85, 66)","rgb(230, 231, 224)","rgb(115, 153, 176)","rgb(133, 155, 128)"
Secret Waterfalls,"rgb(86, 189, 201)","rgb(70, 73, 71)","rgb(114, 198, 75)","rgb(226, 228, 231)"
Strong and Curved,"rgb(151, 188, 199)","rgb(242, 241, 239)","rgb(5, 61, 87)","rgb(0, 104, 132)"
Clusters of Beauty,"rgb(233, 137, 128)","rgb(235, 187, 176)","rgb(244, 185, 184)","rgb(212, 140, 112)"
Daily Cafe Ritual,"rgb(237, 241, 242)","rgb(191, 99, 54)","rgb(34, 130, 128)","rgb(82, 58, 40)"
Hawaiian Blossom,"rgb(248, 248, 248)","rgb(126, 157, 194)","rgb(254, 218, 21)","rgb(255, 15, 57)"
Rosy Lavender,"rgb(220, 188, 208)","rgb(177, 117, 255)","rgb(29, 25, 10)","rgb(184, 4, 84)"
Dreams of Leaflings,"rgb(53, 74, 24)","rgb(249, 235, 243)","rgb(78, 195, 61)","rgb(44, 119, 33)"
Picture Perfect,"rgb(0, 165, 102)","rgb(255, 244, 240)","rgb(59, 115, 155)","rgb(255, 130, 112)"
Nutty Batter,"rgb(253, 239, 231)","rgb(109, 73, 64)","rgb(196, 90, 118)","rgb(241, 185, 137)"
Valiant Bloom,"rgb(67, 108, 182)","rgb(255, 216, 241)","rgb(99, 49, 255)","rgb(251, 202, 167)"
Cabin Fabric,"rgb(200, 160, 80)","rgb(32, 43, 32)","rgb(198, 204, 208)","rgb(228, 225, 208)"
Blushing Building,"rgb(92, 61, 32)","rgb(156, 177, 96)","rgb(226, 97, 144)","rgb(245, 172, 208)"
Stormy Weather,"rgb(243, 205, 116)","rgb(93, 202, 209)","rgb(28, 33, 67)","rgb(113, 248, 255)"
Backdoor Casual,"rgb(101, 142, 169)","rgb(136, 178, 204)","rgb(231, 212, 192)","rgb(233, 137, 115)"
Kissing the Shore,"rgb(53, 56, 47)","rgb(73, 159, 164)","rgb(244, 245, 247)","rgb(63, 119, 157)"
Vintage Romance,"rgb(39, 62, 71)","rgb(218, 192, 166)","rgb(73, 159, 164)","rgb(91, 74, 82)"
Black Bird,"rgb(187, 196, 194)","rgb(126, 124, 115)","rgb(70, 64, 51)","rgb(20, 0, 5)"
Mod Interiors,"rgb(31, 37, 47)","rgb(182, 124, 154)","rgb(229, 230, 233)","rgb(115, 67, 109)"
Finally Opened Up,"rgb(57, 143, 199)","rgb(209, 159, 198)","rgb(74, 13, 74)","rgb(89, 12, 105)"
Citrus Treats,"rgb(235, 240, 148)","rgb(188, 196, 28)","rgb(86, 124, 9)","rgb(120, 125, 18)"
Surf's Up,"rgb(83, 223, 209)","rgb(89, 215, 238)","rgb(157, 227, 246)","rgb(211, 244, 251)"
Wrap Around Style,"rgb(15, 125, 128)","rgb(226, 186, 176)","rgb(255, 150, 183)","rgb(95, 211, 200)"
The Best Summer,"rgb(58, 86, 115)","rgb(81, 185, 205)","rgb(170, 241, 245)","rgb(248, 229, 230)"
Springtime Afternoon,"rgb(110, 195, 193)","rgb(51, 81, 32)","rgb(157, 204, 95)","rgb(13, 95, 138)"
Jazz with Class,"rgb(172, 32, 61)","rgb(1, 239, 232)","rgb(82, 104, 143)","rgb(255, 255, 255)"
Waterside Retro,"rgb(19, 1, 112)","rgb(205, 244, 220)","rgb(1, 148, 154)","rgb(205, 0, 70)"
Soft Slippers,"rgb(240, 201, 179)","rgb(248, 250, 253)","rgb(255, 240, 223)","rgb(180, 170, 169)"
Sugar and Spice,"rgb(207, 178, 176)","rgb(233, 218, 196)","rgb(236, 164, 177)","rgb(183, 200, 194)"
Wear Your Confidence,"rgb(27, 46, 60)","rgb(12, 12, 30)","rgb(77, 0, 17)","rgb(243, 227, 226)"
Pulp Slices,"rgb(228, 215, 208)","rgb(255, 150, 54)","rgb(75, 131, 120)","rgb(10, 65, 88)"
Evening Stroll,"rgb(18, 46, 118)","rgb(7, 19, 48)","rgb(247, 203, 45)","rgb(162, 196, 224)"
Vintage Village,"rgb(51, 58, 68)","rgb(254, 236, 195)","rgb(232, 203, 177)","rgb(124, 156, 171)"
Ocean Threads,"rgb(47, 109, 128)","rgb(106, 164, 176)","rgb(225, 231, 224)","rgb(43, 69, 96)"
Drink Life In,"rgb(106, 73, 115)","rgb(43, 41, 60)","rgb(74, 148, 168)","rgb(226, 217, 202)"
Van Gogh's Dream,"rgb(46, 116, 160)","rgb(100, 175, 208)","rgb(4, 4, 48)","rgb(9, 80, 154)"
School of Fish,"rgb(52, 74, 112)","rgb(56, 110, 144)","rgb(135, 177, 176)","rgb(205, 211, 208)"
Carnival of Feathers,"rgb(226, 179, 39)","rgb(70, 147, 184)","rgb(11, 31, 101)","rgb(225, 217, 209)"
Summer Trend,"rgb(79, 162, 156)","rgb(137, 163, 213)","rgb(179, 206, 229)","rgb(32, 17, 15)"
Beefy Pasture,"rgb(200, 193, 26)","rgb(30, 21, 20)","rgb(148, 126, 111)","rgb(234, 232, 246)"
Blossom of Porcelain,"rgb(234, 239, 242)","rgb(255, 69, 0)","rgb(234, 239, 242)","rgb(0, 224, 212)"
Reach of Flowers,"rgb(160, 71, 33)","rgb(135, 68, 224)","rgb(60, 16, 156)","rgb(197, 95, 252)"
Mermaid Fin,"rgb(203, 235, 245)","rgb(26, 131, 204)","rgb(0, 71, 143)","rgb(101, 223, 246)"
Evening Stroll,"rgb(18, 46, 118)","rgb(7, 19, 48)","rgb(247, 203, 45)","rgb(162, 196, 224)"
Ocean Threads,"rgb(47, 109, 128)","rgb(106, 164, 176)","rgb(225, 231, 224)","rgb(43, 69, 96)"
Drink Life In,"rgb(106, 73, 115)","rgb(43, 41, 60)","rgb(74, 148, 168)","rgb(226, 217, 202)"
Carnival of Feathers,"rgb(226, 179, 39)","rgb(70, 147, 184)","rgb(11, 31, 101)","rgb(225, 217, 209)"
Beefy Pasture,"rgb(200, 193, 26)","rgb(30, 21, 20)","rgb(148, 126, 111)","rgb(234, 232, 246)"
Style and Grace,"rgb(255, 194, 199)","rgb(251, 251, 251)","rgb(244, 31, 78)","rgb(0, 0, 0)"
Colored Coolers,"rgb(122, 135, 30)","rgb(16, 66, 16)","rgb(229, 91, 19)","rgb(246, 162, 30)"
Girl and Skates,"rgb(118, 151, 125)","rgb(220, 114, 96)","rgb(118, 148, 171)","rgb(107, 109, 108)"
Almost There,"rgb(0, 27, 44)","rgb(0, 74, 148)","rgb(67, 195, 221)","rgb(217, 237, 248)"
Freeze this Moment,"rgb(0, 51, 102)","rgb(113, 177, 197)","rgb(203, 230, 239)","rgb(240, 242, 243)"
Baywalk Ready,"rgb(209, 231, 245)","rgb(98, 165, 200)","rgb(214, 37, 152)","rgb(246, 232, 219)"
Perfect Beach Vistas,"rgb(149, 113, 171)","rgb(56, 204, 237)","rgb(164, 216, 251)","rgb(0, 143, 222)"
Secret Falls,"rgb(65, 176, 193)","rgb(240, 72, 84)","rgb(80, 81, 73)","rgb(226, 228, 231)"
Muted Overview,"rgb(233, 230, 226)","rgb(181, 164, 163)","rgb(193, 194, 173)","rgb(83, 94, 75)"
Flower Core,"rgb(255, 11, 172)","rgb(73, 0, 52)","rgb(246, 180, 5)","rgb(253, 188, 253)"
Magenta Flowerbed,"rgb(47, 42, 69)","rgb(39, 10, 17)","rgb(255, 11, 172)","rgb(252, 243, 166)"
Raspberry Treat,"rgb(0, 35, 65)","rgb(229, 0, 39)","rgb(189, 157, 120)","rgb(94, 139, 176)"
Ride it Out,"rgb(178, 219, 245)","rgb(105, 177, 245)","rgb(0, 0, 255)","rgb(15, 17, 20)"
Catmint Stride,"rgb(204, 202, 169)","rgb(132, 94, 119)","rgb(197, 152, 175)","rgb(150, 16, 134)"
Lead the Way,"rgb(43, 102, 112)","rgb(99, 126, 144)","rgb(119, 167, 176)","rgb(229, 242, 240)"
One Fine Day,"rgb(157, 182, 204)","rgb(228, 212, 200)","rgb(164, 119, 134)","rgb(83, 52, 64)"
Outdoor Challenge,"rgb(40, 65, 93)","rgb(184, 203, 200)","rgb(129, 186, 223)","rgb(82, 58, 40)"
Waves at Twilight,"rgb(136, 191, 203)","rgb(19, 52, 76)","rgb(21, 27, 37)","rgb(54, 122, 145)"
Power Up,"rgb(233, 221, 212)","rgb(0, 0, 0)","rgb(233, 221, 212)","rgb(144, 0, 32)"
Burst of Sunshine,"rgb(245, 22, 99)","rgb(222, 179, 173)","rgb(250, 194, 24)","rgb(248, 111, 21)"
Melon and Mint,"rgb(59, 151, 120)","rgb(235, 238, 241)","rgb(244, 177, 140)","rgb(147, 233, 190)"
Shoot for the Stars,"rgb(221, 129, 156)","rgb(59, 31, 82)","rgb(30, 20, 43)","rgb(160, 89, 135)"
Secret Keeper,"rgb(245, 40, 112)","rgb(34, 21, 48)","rgb(249, 232, 48)","rgb(252, 77, 176)"
Ombre Rosettes,"rgb(187, 209, 192)","rgb(190, 12, 61)","rgb(226, 83, 113)","rgb(229, 181, 176)"
Tall and Proud,"rgb(74, 114, 16)","rgb(218, 243, 240)","rgb(198, 216, 48)","rgb(56, 191, 240)"
Peach Fuzz,"rgb(99, 29, 23)","rgb(142, 143, 156)","rgb(255, 203, 164)","rgb(246, 72, 57)"
Sliver of Silver,"rgb(60, 54, 48)","rgb(92, 83, 80)","rgb(188, 190, 192)","rgb(229, 218, 206)"
Bubble Pop Frosting,"rgb(200, 244, 249)","rgb(71, 211, 206)","rgb(252, 164, 162)","rgb(231, 132, 132)"
Tropical Shore,"rgb(244, 237, 227)","rgb(127, 229, 240)","rgb(117, 168, 223)","rgb(102, 115, 137)"
Fresh for Picking,"rgb(58, 74, 61)","rgb(150, 173, 144)","rgb(244, 185, 184)","rgb(247, 214, 192)"
Frosted Cabbage,"rgb(138, 66, 122)","rgb(155, 180, 168)","rgb(43, 50, 54)","rgb(177, 222, 193)"
Winter Warmth,"rgb(36, 76, 96)","rgb(56, 70, 64)","rgb(239, 244, 240)","rgb(151, 12, 16)"
Santorini Paradise,"rgb(10, 22, 64)","rgb(201, 207, 208)","rgb(0, 255, 240)","rgb(25, 134, 160)"
Fresh for Picking,"rgb(58, 74, 61)","rgb(150, 173, 144)","rgb(244, 185, 184)","rgb(247, 214, 192)"
Frosted Cabbage,"rgb(138, 66, 122)","rgb(155, 180, 168)","rgb(43, 50, 54)","rgb(177, 222, 193)"
Sunshine's Petals,"rgb(75, 78, 48)","rgb(56, 185, 224)","rgb(246, 197, 16)","rgb(251, 228, 64)"
Petal Crush,"rgb(0, 59, 115)","rgb(0, 116, 183)","rgb(96, 163, 217)","rgb(191, 215, 237)"
Plump Berries,"rgb(206, 175, 180)","rgb(148, 80, 85)","rgb(41, 0, 10)","rgb(235, 30, 43)"
Capped and Secure,"rgb(167, 220, 240)","rgb(38, 133, 240)","rgb(19, 40, 128)","rgb(101, 172, 240)"
Winter Warmth,"rgb(36, 76, 96)","rgb(56, 70, 64)","rgb(239, 244, 240)","rgb(151, 12, 16)"
Calming Serenity,"rgb(24, 58, 83)","rgb(92, 151, 184)","rgb(209, 165, 138)","rgb(220, 219, 216)"
Tropical Sunset Paradise,"rgb(144, 0, 0)","rgb(0, 0, 0)","rgb(229, 106, 25)","rgb(241, 180, 22)"
Blooming Illusion,"rgb(50, 180, 128)","rgb(72, 101, 144)","rgb(187, 175, 224)","rgb(14, 93, 64)"
Grey Horizon,"rgb(99, 96, 89)","rgb(163, 157, 146)","rgb(192, 201, 204)","rgb(242, 241, 240)"
Rose and Gold,"rgb(239, 192, 129)","rgb(188, 10, 15)","rgb(175, 159, 48)","rgb(239, 238, 233)"
Vanilla Amandine,"rgb(122, 62, 38)","rgb(207, 104, 86)","rgb(247, 231, 206)","rgb(255, 255, 255)"
Mulberry Smoke,"rgb(43, 25, 46)","rgb(245, 232, 218)","rgb(80, 0, 108)","rgb(206, 140, 165)"
Touching the Surface,"rgb(28, 166, 160)","rgb(9, 193, 208)","rgb(86, 192, 240)","rgb(211, 237, 240)"
Pastel Ice Cream,"rgb(255, 219, 21)","rgb(200, 77, 96)","rgb(255, 238, 213)","rgb(202, 214, 231)"
Violet Plume,"rgb(44, 43, 39)","rgb(187, 38, 132)","rgb(36, 24, 52)","rgb(228, 226, 234)"
Brilliant Bokeh,"rgb(251, 71, 94)","rgb(1, 153, 146)","rgb(68, 238, 119)","rgb(255, 176, 1)"
Modern Cathedral,"rgb(77, 0, 17)","rgb(78, 112, 106)","rgb(31, 25, 43)","rgb(238, 199, 187)"
Letters of Affection,"rgb(156, 45, 65)","rgb(250, 247, 244)","rgb(246, 203, 183)","rgb(203, 133, 124)"
Make a Splash,"rgb(138, 176, 176)","rgb(72, 187, 208)","rgb(219, 216, 192)","rgb(97, 137, 144)"
All Star Classic,"rgb(75, 68, 60)","rgb(77, 0, 17)","rgb(35, 36, 37)","rgb(228, 229, 232)"
Classic Gentleman,"rgb(50, 89, 128)","rgb(212, 194, 176)","rgb(32, 46, 80)","rgb(119, 113, 128)"
Pretty Pansy,"rgb(222, 186, 214)","rgb(248, 116, 214)","rgb(215, 186, 254)","rgb(180, 110, 64)"
Choco Coco,"rgb(230, 183, 148)","rgb(229, 219, 207)","rgb(86, 56, 45)","rgb(83, 125, 130)"
Decadent Dessert,"rgb(255, 250, 229)","rgb(230, 69, 49)","rgb(233, 186, 94)","rgb(45, 20, 17)"
Casual Summer,"rgb(240, 246, 240)","rgb(148, 95, 64)","rgb(196, 142, 96)","rgb(86, 207, 196)"
Hot and Sour,"rgb(169, 121, 80)","rgb(6, 147, 144)","rgb(255, 243, 67)","rgb(251, 54, 144)"
Fade to Cool,"rgb(254, 223, 224)","rgb(53, 60, 64)","rgb(109, 211, 208)","rgb(237, 215, 192)"
Xylem Drops,"rgb(1, 98, 54)","rgb(2, 137, 75)","rgb(6, 4, 10)","rgb(190, 211, 171)"
Firey Cracked Earth,"rgb(73, 159, 164)","rgb(169, 88, 43)","rgb(186, 153, 115)","rgb(237, 223, 156)"
A Sweet Spark,"rgb(255, 227, 42)","rgb(103, 225, 232)","rgb(84, 40, 171)","rgb(222, 210, 205)"
Blossom Rows,"rgb(145, 104, 160)","rgb(237, 238, 241)","rgb(220, 161, 176)","rgb(60, 76, 112)"
Rocky Coast,"rgb(5, 5, 5)","rgb(18, 51, 69)","rgb(117, 114, 126)","rgb(255, 0, 57)"
Plucked Forest,"rgb(53, 74, 24)","rgb(249, 235, 243)","rgb(0, 163, 133)","rgb(0, 73, 58)"
Forest Chill,"rgb(15, 15, 27)","rgb(27, 41, 25)","rgb(123, 88, 61)","rgb(240, 211, 193)"
Out and About,"rgb(38, 62, 103)","rgb(0, 128, 246)","rgb(141, 145, 141)","rgb(255, 206, 117)"
Plum Kisses,"rgb(122, 0, 81)","rgb(211, 177, 194)","rgb(36, 8, 49)","rgb(228, 75, 125)"
