index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y
Page_2_25,24,https://ak1.ostkcdn.com/images/products/7896234/L15276938.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.5153286619293755,"Rgb(r=58, g=84, b=101)",0.4846713380706245
Page_2_26,25,https://ak1.ostkcdn.com/images/products/20881980/L19863713.jpg?imwidth=480&impolicy=medium,"Rgb(r=249, g=249, b=249)",0.9055217605749583,"Rgb(r=167, g=180, b=119)",0.09447823942504169
Page_2_27,26,https://ak1.ostkcdn.com/images/products/21490168/L15834572.jpg?imwidth=480&impolicy=medium,"Rgb(r=250, g=250, b=250)",0.7665937272064187,"Rgb(r=172, g=171, b=139)",0.23340627279358134
Page_2_28,27,https://ak1.ostkcdn.com/images/products/9551296/L16732102.jpg?imwidth=480&impolicy=medium,"Rgb(r=97, g=96, b=56)",0.5015135941877983,"Rgb(r=74, g=74, b=39)",0.49848640581220166
Page_2_29,28,https://ak1.ostkcdn.com/images/products/19886908/L25812534.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.5407624566265474,"Rgb(r=27, g=29, b=35)",0.4592375433734526
Page_2_30,29,https://ak1.ostkcdn.com/images/products/7647088/7647088/Orange-Shagadelic-Chenille-18-inch-Double-Sided-Decorative-Pillow-L15063458.jpeg?imwidth=480&impolicy=medium,"Rgb(r=206, g=55, b=13)",0.6387369129863318,"Rgb(r=168, g=22, b=4)",0.3612630870136681
Page_2_31,30,https://ak1.ostkcdn.com/images/products/5178483/Duponi-Silk-Feather-Filled-Square-Decorative-Pillows-Set-of-2-L13015312.jpg?imwidth=480&impolicy=medium,"Rgb(r=193, g=169, b=111)",0.6105298228635343,"Rgb(r=126, g=102, b=52)",0.3894701771364657
Page_2_32,31,https://ak1.ostkcdn.com/images/products/7910561/L15289320.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6986826198815907,"Rgb(r=41, g=48, b=66)",0.30131738011840925
Page_2_33,32,https://ak1.ostkcdn.com/images/products/12114941/L18975562.jpg?imwidth=480&impolicy=medium,"Rgb(r=178, g=165, b=150)",0.6308398688150577,"Rgb(r=237, g=233, b=226)",0.36916013118494223
Page_2_34,33,https://ak1.ostkcdn.com/images/products/7751228/L15149537.jpg?imwidth=480&impolicy=medium,"Rgb(r=170, g=167, b=157)",0.8224708632071002,"Rgb(r=212, g=210, b=202)",0.17752913679289978
Page_2_35,34,https://ak1.ostkcdn.com/images/products/7751388/L15149533.jpg?imwidth=480&impolicy=medium,"Rgb(r=223, g=221, b=218)",0.8014607408634663,"Rgb(r=136, g=78, b=60)",0.1985392591365337
Page_2_36,35,https://ak1.ostkcdn.com/images/products/26980915/L32200633.jpg?imwidth=480&impolicy=medium,"Rgb(r=166, g=160, b=149)",0.5346290483080872,"Rgb(r=117, g=110, b=107)",0.4653709516919128
Page_2_37,36,https://ak1.ostkcdn.com/images/products/23463112/L28978275.jpg?imwidth=480&impolicy=medium,"Rgb(r=242, g=238, b=234)",0.7846073480759185,"Rgb(r=185, g=168, b=150)",0.2153926519240815
Page_2_38,37,https://ak1.ostkcdn.com/images/products/8595275/L15865947.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.5472720964524244,"Rgb(r=63, g=88, b=115)",0.4527279035475757
Page_2_39,38,https://ak1.ostkcdn.com/images/products/8869835/L16095530.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6462453282524262,"Rgb(r=120, g=36, b=44)",0.35375467174757386
Page_2_40,39,https://ak1.ostkcdn.com/images/products/23463117/L28978276.jpg?imwidth=480&impolicy=medium,"Rgb(r=239, g=237, b=234)",0.6556619166757315,"Rgb(r=182, g=167, b=149)",0.34433808332426846
Page_2_41,40,https://ak1.ostkcdn.com/images/products/11682695/L18609536.jpg?imwidth=480&impolicy=medium,"Rgb(r=80, g=77, b=104)",0.5519696066601731,"Rgb(r=254, g=254, b=254)",0.4480303933398268
Page_2_42,41,https://ak1.ostkcdn.com/images/products/12408711/L19228205.jpg?imwidth=480&impolicy=medium,"Rgb(r=19, g=31, b=64)",0.6084777174961744,"Rgb(r=254, g=254, b=254)",0.39152228250382554
