index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y,location-on-pltt,match1,match2,match3,palette_name,position_on_pltt
Page_2_30,29,https://ak1.ostkcdn.com/images/products/7647088/7647088/Orange-Shagadelic-Chenille-18-inch-Double-Sided-Decorative-Pillow-L15063458.jpeg?imwidth=480&impolicy=medium,"(206, 55, 13)",0.6387369129863318,"(168, 22, 4)",0.3612630870136681,"[2306, 2]",1036,455,110,Autumn Cocoa,2
Page_2_31,30,https://ak1.ostkcdn.com/images/products/5178483/Duponi-Silk-Feather-Filled-Square-Decorative-Pillows-Set-of-2-L13015312.jpg?imwidth=480&impolicy=medium,"(193, 169, 111)",0.6105298228635343,"(126, 102, 52)",0.3894701771364657,"[3081, 3]",1069,272,1591,Coffee and Chill,3
Page_2_32,31,https://ak1.ostkcdn.com/images/products/7910561/L15289320.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6986826198815907,"(41, 48, 66)",0.30131738011840925,"[684, 0]",605,1009,753,Morning Sun,0
Page_2_33,32,https://ak1.ostkcdn.com/images/products/12114941/L18975562.jpg?imwidth=480&impolicy=medium,"(178, 165, 150)",0.6308398688150577,"(237, 233, 226)",0.36916013118494223,"[902, 0]",1865,148,1818,For Good Luck,0
Page_2_34,33,https://ak1.ostkcdn.com/images/products/7751228/L15149537.jpg?imwidth=480&impolicy=medium,"(170, 167, 157)",0.8224708632071002,"(212, 210, 202)",0.17752913679289978,"[2891, 1]",272,203,1352,A Gentleman's Evening,1
Page_2_35,34,https://ak1.ostkcdn.com/images/products/7751388/L15149533.jpg?imwidth=480&impolicy=medium,"(223, 221, 218)",0.8014607408634663,"(136, 78, 60)",0.1985392591365337,"[996, 1]",1706,105,365,Sea Rock Formation,1
Page_2_36,35,https://ak1.ostkcdn.com/images/products/26980915/L32200633.jpg?imwidth=480&impolicy=medium,"(166, 160, 149)",0.5346290483080872,"(117, 110, 107)",0.4653709516919128,"[2237, 2]",969,1675,1516,Happy Cactus,2
Page_2_37,36,https://ak1.ostkcdn.com/images/products/23463112/L28978275.jpg?imwidth=480&impolicy=medium,"(242, 238, 234)",0.7846073480759185,"(185, 168, 150)",0.2153926519240815,"[484, 2]",1666,275,1345,Hidden Haven,2
Page_2_38,37,https://ak1.ostkcdn.com/images/products/8595275/L15865947.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.5472720964524244,"(63, 88, 115)",0.4527279035475757,"[684, 0]",1352,1352,937,Morning Sun,0
Page_2_39,38,https://ak1.ostkcdn.com/images/products/8869835/L16095530.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6462453282524262,"(120, 36, 44)",0.35375467174757386,"[684, 0]",928,257,1210,Morning Sun,0
Page_2_40,39,https://ak1.ostkcdn.com/images/products/23463117/L28978276.jpg?imwidth=480&impolicy=medium,"(239, 237, 234)",0.6556619166757315,"(182, 167, 149)",0.3443380833242685,"[2443, 1]",76,1352,1310,Summer Style,1
Page_2_41,40,https://ak1.ostkcdn.com/images/products/11682695/L18609536.jpg?imwidth=480&impolicy=medium,"(80, 77, 104)",0.5519696066601731,"(254, 254, 254)",0.4480303933398268,"[293, 2]",1029,1404,479,In a Trance,2
Page_2_42,41,https://ak1.ostkcdn.com/images/products/12408711/L19228205.jpg?imwidth=480&impolicy=medium,"(19, 31, 64)",0.6084777174961744,"(254, 254, 254)",0.3915222825038256,"[1065, 1]",1666,603,1376,Peacock Passion,1
Page_2_43,42,https://ak1.ostkcdn.com/images/products/23159328/L28703360.jpg?imwidth=480&impolicy=medium,"(12, 61, 72)",0.5145644010931633,"(44, 112, 129)",0.4854355989068368,"[863, 1]",1680,1666,1034,Crashing Waterfall,1
