,dn_crop,dn_order,box_order,class_name,class_id,image,index_image,crop_width,crop_height,crop_area,left_x,top_y,width,height,deviation-score,centerness-score,RGB_x,Proportion_x,RGB_y,Proportion_y,palette_name,position_on_pltt,match1,match2,match3,RGB_x_hex
1375,img_1396_2713_560_Animal.jpg.jpg,1396,2713,Animal,560,Pillow_select/Page_6_60.jpg,Page_6_60,479,457,218903,-8,11,500,457,0.6806813744177316,325.3770889291377,"Rgb(r=194, g=169, b=138)",0.5888294455211431,"Rgb(r=228, g=211, b=191)",0.4111705544788568,Sunshine Pears,3,1109,538,323,#c2a98a
1376,img_1397_2714_264_Kitchenware.jpg.jpg,1397,2714,Kitchenware,264,Pillow_select/Page_6_7.jpg,Page_6_7,453,453,205209,12,26,453,460,0.6875214312289316,313.8443085352991,"Rgb(r=217, g=171, b=104)",0.8014554343545921,"Rgb(r=254, g=253, b=251)",0.19854456564540793,Countryside Scene,2,1359,258,743,#d9ab68
1377,img_1398_2716_432_Clothing.jpg.jpg,1398,2716,Clothing,432,Pillow_select/Page_6_8.jpg,Page_6_8,467,445,207815,8,17,466,445,0.6955075636436311,316.71951313425575,"Rgb(r=38, g=47, b=37)",0.6027560604547617,"Rgb(r=254, g=254, b=254)",0.3972439395452383,Garden Wall Vine,1,167,278,1141,#262f25
1378,img_1399_2718_560_Animal.jpg.jpg,1399,2718,Animal,560,Pillow_select/Page_6_9.jpg,Page_6_9,479,477,228483,-1,-3,484,480,0.7100530089240475,342.24260401066374,"Rgb(r=249, g=249, b=249)",0.6695521264584118,"Rgb(r=161, g=163, b=166)",0.3304478735415883,Backyard Picks,1,376,1278,115,#f9f9f9
1379,img_1400_2719_68_Person.jpg.jpg,1400,2719,Person,68,Pillow_select/Page_7_10.jpg,Page_7_10,452,438,197976,13,40,452,438,0.6710944205847345,298.60006697922887,"Rgb(r=37, g=45, b=61)",0.7238265730751715,"Rgb(r=254, g=254, b=254)",0.27617342692482844,Stormy Sky,0,901,136,1095,#252d3d
1380,img_1401_2721_432_Clothing.jpg.jpg,1401,2721,Clothing,432,Pillow_select/Page_7_11.jpg,Page_7_11,458,427,195566,12,5,457,427,0.720542295110241,318.2962456580348,"Rgb(r=202, g=136, b=126)",0.5743772837577752,"Rgb(r=254, g=251, b=250)",0.42562271624222475,Autumn Carpet,0,1325,1275,623,#ca887e
1381,img_1402_2722_333_Plant.jpg.jpg,1402,2722,Plant,333,Pillow_select/Page_7_12.jpg,Page_7_12,479,479,229441,-10,-10,500,498,0.7076205958213215,353.1019682754544,"Rgb(r=49, g=46, b=42)",0.7425862268977855,"Rgb(r=81, g=77, b=72)",0.2574137731022145,Polar Opposites,3,672,1056,1373,#312e2a
1382,img_1403_2724_432_Clothing.jpg.jpg,1403,2724,Clothing,432,Pillow_select/Page_7_13.jpg,Page_7_13,412,441,181692,15,19,412,441,0.7016263371516119,299.07064382851087,"Rgb(r=182, g=158, b=137)",0.503966094236715,"Rgb(r=228, g=218, b=209)",0.496033905763285,Stairs and Mirrors,3,751,739,1272,#b69e89
1383,img_1404_2726_465_Furniture.jpg.jpg,1404,2726,Furniture,465,Pillow_select/Page_7_14.jpg,Page_7_14,357,341,121737,61,91,356,341,0.7229090759174969,251.8754652601162,"Rgb(r=233, g=231, b=228)",0.6963280540704125,"Rgb(r=177, g=166, b=152)",0.3036719459295874,Muted Overview,0,169,1373,53,#e9e7e4
1384,img_1405_2728_465_Furniture.jpg.jpg,1405,2728,Furniture,465,Pillow_select/Page_7_15.jpg,Page_7_15,339,214,72546,45,159,339,214,0.8194477639757938,220.71304900254535,"Rgb(r=58, g=37, b=34)",0.6792372795766255,"Rgb(r=39, g=33, b=36)",0.32076272042337445,Start the Day,3,1150,1272,454,#3a2522
